DayOfYear,Hour,foF2,Longitude,Latitude,F10.7,Station
20,0,2.1,315.0,-22.7,67.0,CP
20,1,2.35,315.0,-22.7,67.0,CP
20,11,5.7,315.0,-22.7,67.0,CP
20,12,6.275,315.0,-22.7,67.0,CP
20,13,8.2,315.0,-22.7,67.0,CP
21,23,3.95,315.0,-22.7,67.7,CP
21,0,3.45,315.0,-22.7,67.7,CP
21,1,2.95,315.0,-22.7,67.7,CP
21,11,6.775,315.0,-22.7,67.7,CP
21,12,7.675,315.0,-22.7,67.7,CP
21,13,8.425,315.0,-22.7,67.7,CP
25,23,5.35,315.0,-22.7,72.7,CP
25,0,3.8,315.0,-22.7,72.7,CP
26,23,2.75,315.0,-22.7,74.3,CP
26,0,2.65,315.0,-22.7,74.3,CP
26,1,2.75,315.0,-22.7,74.3,CP
26,11,5.65,315.0,-22.7,74.3,CP
26,12,6.65,315.0,-22.7,74.3,CP
26,13,7.5,315.0,-22.7,74.3,CP
27,23,5.6,315.0,-22.7,72.8,CP
27,0,5.3,315.0,-22.7,72.8,CP
27,1,4.6,315.0,-22.7,72.8,CP
27,11,5.15,315.0,-22.7,72.8,CP
27,12,6.275,315.0,-22.7,72.8,CP
27,13,7.35,315.0,-22.7,72.8,CP
28,23,3.1,315.0,-22.7,73.5,CP
28,0,3.15,315.0,-22.7,73.5,CP
28,1,3.5,315.0,-22.7,73.5,CP
28,11,5.85,315.0,-22.7,73.5,CP
28,12,7.15,315.0,-22.7,73.5,CP
28,13,7.975,315.0,-22.7,73.5,CP
29,23,6.75,315.0,-22.7,70.9,CP
29,0,6.15,315.0,-22.7,70.9,CP
29,1,6.05,315.0,-22.7,70.9,CP
29,11,6.2,315.0,-22.7,70.9,CP
29,12,7.5,315.0,-22.7,70.9,CP
29,13,8.7,315.0,-22.7,70.9,CP
30,23,3.45,315.0,-22.7,71.4,CP
30,0,3.25,315.0,-22.7,71.4,CP
30,1,3.0,315.0,-22.7,71.4,CP
30,11,4.8,315.0,-22.7,71.4,CP
30,12,5.4,315.0,-22.7,71.4,CP
30,13,6.4,315.0,-22.7,71.4,CP
31,23,6.95,315.0,-22.7,70.0,CP
31,0,5.3,315.0,-22.7,70.0,CP
31,1,5.7,315.0,-22.7,70.0,CP
31,11,5.9,315.0,-22.7,70.0,CP
31,12,6.3,315.0,-22.7,70.0,CP
31,13,7.6,315.0,-22.7,70.0,CP
32,23,4.0,315.0,-22.7,70.0,CP
32,0,4.45,315.0,-22.7,70.0,CP
32,1,4.25,315.0,-22.7,70.0,CP
32,11,5.725,315.0,-22.7,70.0,CP
32,12,7.95,315.0,-22.7,70.0,CP
32,13,8.05,315.0,-22.7,70.0,CP
33,23,5.15,315.0,-22.7,68.8,CP
33,0,5.3,315.0,-22.7,68.8,CP
33,1,4.75,315.0,-22.7,68.8,CP
33,11,6.45,315.0,-22.7,68.8,CP
33,12,6.725,315.0,-22.7,68.8,CP
33,13,7.325,315.0,-22.7,68.8,CP
34,23,2.9,315.0,-22.7,69.1,CP
34,0,2.95,315.0,-22.7,69.1,CP
34,1,2.5,315.0,-22.7,69.1,CP
34,11,6.325,315.0,-22.7,69.1,CP
34,12,7.85,315.0,-22.7,69.1,CP
34,13,6.825,315.0,-22.7,69.1,CP
35,23,4.25,315.0,-22.7,68.7,CP
35,0,4.15,315.0,-22.7,68.7,CP
35,1,3.4,315.0,-22.7,68.7,CP
35,11,5.525,315.0,-22.7,68.7,CP
35,12,7.05,315.0,-22.7,68.7,CP
35,13,8.45,315.0,-22.7,68.7,CP
36,23,3.75,315.0,-22.7,68.7,CP
36,0,3.8,315.0,-22.7,68.7,CP
36,1,3.85,315.0,-22.7,68.7,CP
36,11,4.325,315.0,-22.7,68.7,CP
36,12,5.875,315.0,-22.7,68.7,CP
36,13,7.45,315.0,-22.7,68.7,CP
37,23,2.8,315.0,-22.7,67.9,CP
37,0,2.55,315.0,-22.7,67.9,CP
37,1,2.4,315.0,-22.7,67.9,CP
37,11,6.075,315.0,-22.7,67.9,CP
37,12,7.475,315.0,-22.7,67.9,CP
37,13,9.05,315.0,-22.7,67.9,CP
38,23,4.6,315.0,-22.7,68.3,CP
38,0,4.25,315.0,-22.7,68.3,CP
38,1,4.55,315.0,-22.7,68.3,CP
38,11,4.85,315.0,-22.7,68.3,CP
38,12,5.85,315.0,-22.7,68.3,CP
38,13,7.225,315.0,-22.7,68.3,CP
39,23,4.25,315.0,-22.7,68.1,CP
39,0,4.0,315.0,-22.7,68.1,CP
39,1,4.05,315.0,-22.7,68.1,CP
39,11,6.625,315.0,-22.7,68.1,CP
39,12,7.35,315.0,-22.7,68.1,CP
39,13,8.15,315.0,-22.7,68.1,CP
40,23,2.9,315.0,-22.7,68.4,CP
40,0,3.0,315.0,-22.7,68.4,CP
40,1,2.9,315.0,-22.7,68.4,CP
40,11,6.325,315.0,-22.7,68.4,CP
40,12,7.55,315.0,-22.7,68.4,CP
40,13,8.3,315.0,-22.7,68.4,CP
41,23,3.75,315.0,-22.7,68.1,CP
41,0,3.35,315.0,-22.7,68.1,CP
41,1,3.1,315.0,-22.7,68.1,CP
41,11,6.05,315.0,-22.7,68.1,CP
41,12,7.2,315.0,-22.7,68.1,CP
41,13,8.35,315.0,-22.7,68.1,CP
42,23,3.35,315.0,-22.7,68.0,CP
42,0,3.1,315.0,-22.7,68.0,CP
42,1,3.1,315.0,-22.7,68.0,CP
42,11,4.95,315.0,-22.7,68.0,CP
42,12,5.825,315.0,-22.7,68.0,CP
42,13,6.425,315.0,-22.7,68.0,CP
43,23,3.7,315.0,-22.7,68.4,CP
43,0,3.35,315.0,-22.7,68.4,CP
43,1,3.1,315.0,-22.7,68.4,CP
43,11,5.7,315.0,-22.7,68.4,CP
43,12,6.85,315.0,-22.7,68.4,CP
43,13,7.25,315.0,-22.7,68.4,CP
44,23,4.65,315.0,-22.7,68.6,CP
44,0,4.8,315.0,-22.7,68.6,CP
44,1,5.5,315.0,-22.7,68.6,CP
44,11,4.45,315.0,-22.7,68.6,CP
44,12,6.05,315.0,-22.7,68.6,CP
44,13,7.0,315.0,-22.7,68.6,CP
45,23,4.2,315.0,-22.7,69.7,CP
45,0,4.4,315.0,-22.7,69.7,CP
45,1,4.4,315.0,-22.7,69.7,CP
45,11,5.7,315.0,-22.7,69.7,CP
45,12,7.175,315.0,-22.7,69.7,CP
45,13,8.075,315.0,-22.7,69.7,CP
46,23,3.75,315.0,-22.7,69.2,CP
46,0,3.55,315.0,-22.7,69.2,CP
46,1,3.7,315.0,-22.7,69.2,CP
46,11,6.625,315.0,-22.7,69.2,CP
46,12,6.75,315.0,-22.7,69.2,CP
46,13,7.725,315.0,-22.7,69.2,CP
47,23,4.55,315.0,-22.7,69.0,CP
47,0,5.05,315.0,-22.7,69.0,CP
47,1,4.15,315.0,-22.7,69.0,CP
47,11,5.725,315.0,-22.7,69.0,CP
47,12,7.025,315.0,-22.7,69.0,CP
47,13,8.35,315.0,-22.7,69.0,CP
48,23,2.35,315.0,-22.7,68.4,CP
48,0,2.5,315.0,-22.7,68.4,CP
48,1,2.65,315.0,-22.7,68.4,CP
48,11,6.425,315.0,-22.7,68.4,CP
48,12,7.4,315.0,-22.7,68.4,CP
48,13,8.0,315.0,-22.7,68.4,CP
49,23,6.45,315.0,-22.7,68.3,CP
49,0,5.2,315.0,-22.7,68.3,CP
49,1,4.2,315.0,-22.7,68.3,CP
49,11,6.575,315.0,-22.7,68.3,CP
49,12,7.625,315.0,-22.7,68.3,CP
49,13,8.625,315.0,-22.7,68.3,CP
50,23,5.1,315.0,-22.7,68.6,CP
50,0,4.8,315.0,-22.7,68.6,CP
50,1,3.9,315.0,-22.7,68.6,CP
50,11,6.8,315.0,-22.7,68.6,CP
50,12,7.775,315.0,-22.7,68.6,CP
50,13,8.775,315.0,-22.7,68.6,CP
51,23,4.9,315.0,-22.7,69.4,CP
51,0,4.55,315.0,-22.7,69.4,CP
51,1,3.5,315.0,-22.7,69.4,CP
51,11,5.85,315.0,-22.7,69.4,CP
51,12,7.1,315.0,-22.7,69.4,CP
51,13,8.225,315.0,-22.7,69.4,CP
52,23,3.2,315.0,-22.7,69.2,CP
52,0,3.3,315.0,-22.7,69.2,CP
52,1,3.15,315.0,-22.7,69.2,CP
52,11,5.0,315.0,-22.7,69.2,CP
52,12,6.975,315.0,-22.7,69.2,CP
52,13,8.925,315.0,-22.7,69.2,CP
53,23,4.15,315.0,-22.7,69.7,CP
53,0,3.85,315.0,-22.7,69.7,CP
53,1,3.55,315.0,-22.7,69.7,CP
53,11,5.425,315.0,-22.7,69.7,CP
53,12,7.125,315.0,-22.7,69.7,CP
53,13,8.6,315.0,-22.7,69.7,CP
54,23,2.5,315.0,-22.7,69.2,CP
54,0,2.45,315.0,-22.7,69.2,CP
54,1,2.45,315.0,-22.7,69.2,CP
54,11,4.95,315.0,-22.7,69.2,CP
54,12,5.625,315.0,-22.7,69.2,CP
54,13,7.8,315.0,-22.7,69.2,CP
55,23,3.0,315.0,-22.7,69.0,CP
55,0,2.9,315.0,-22.7,69.0,CP
55,1,2.7,315.0,-22.7,69.0,CP
55,11,4.3,315.0,-22.7,69.0,CP
55,12,5.725,315.0,-22.7,69.0,CP
