# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2025-10-17T12:00:24.869Z
#
# Location: GEO 30.5N 273.5E, URSI-Code EG931 EGLIN AFB
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2019-12-30T00:00:00.000Z - 2019-12-31T23:59:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foF2 [MHz] - F2 layer critical frequency
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of EG931 data provider
#
#Time                     CS   foF2 QD
2019-12-31T05:00:00.000Z  70  3.950 //
2019-12-31T05:15:00.000Z  80  4.250 //
2019-12-31T05:30:00.000Z  80  4.250 //
2019-12-31T05:45:00.000Z  70  4.225 //
2019-12-31T06:00:00.000Z  20  4.100 //
2019-12-31T06:15:00.000Z  80  4.200 //
2019-12-31T06:30:00.000Z  60  4.325 //
2019-12-31T06:45:00.000Z  70  4.375 //
2019-12-31T07:00:00.000Z  40  4.600 //
2019-12-31T07:15:00.000Z  60  4.225 //
2019-12-31T07:30:00.000Z  70  4.200 //
2019-12-31T07:45:00.000Z  70  4.425 //
2019-12-31T08:00:00.000Z  50  3.800 //
2019-12-31T08:15:00.000Z   0  4.575 //
2019-12-31T08:30:00.000Z  40  4.325 //
2019-12-31T08:45:00.000Z   0  4.650 //
2019-12-31T09:00:00.000Z  70  4.325 //
2019-12-31T09:15:00.000Z  40  4.350 //
2019-12-31T09:30:00.000Z  70  4.600 //
2019-12-31T09:45:00.000Z  50  4.600 //
2019-12-31T10:00:00.000Z  80  4.575 //
2019-12-31T10:15:00.000Z  70  4.525 //
2019-12-31T10:30:00.000Z  70  4.450 //
2019-12-31T10:45:00.000Z  70  4.025 //
2019-12-31T11:00:00.000Z  70  4.025 //
2019-12-31T11:15:00.000Z  40  3.400 //
2019-12-31T11:30:00.000Z  70  3.075 //
2019-12-31T11:45:00.000Z  70  3.100 //
2019-12-31T12:00:00.000Z  70  2.700 //
2019-12-31T12:15:00.000Z  60  2.675 //
2019-12-31T12:30:00.000Z  70  2.975 //
2019-12-31T12:45:00.000Z  70  3.375 //
2019-12-31T13:00:00.000Z  80  4.025 //
2019-12-31T13:15:00.000Z  90  4.350 //
2019-12-31T13:30:00.000Z  90  4.525 //
2019-12-31T13:45:00.000Z  75  4.350 //
2019-12-31T14:00:00.000Z  80  4.575 //
2019-12-31T14:15:00.000Z  80  4.850 //
2019-12-31T14:30:00.000Z  90  4.850 //
