# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2025-10-17T12:00:57.325Z
#
# Location: GEO -22.7N 315.0E, URSI-Code CAJ2M CACHOEIRA PAULISTA
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2019-12-30T00:00:00.000Z - 2019-12-31T23:59:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foF2 [MHz] - F2 layer critical frequency
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of CAJ2M data provider
#
#Time                     CS   foF2 QD
2019-12-30T00:00:00.000Z  95  5.600 //
2019-12-30T00:10:00.000Z  80  5.550 //
2019-12-30T00:20:00.000Z  95  5.500 //
2019-12-30T00:30:00.000Z  95  5.450 //
2019-12-30T00:40:00.000Z  80  5.350 //
2019-12-30T00:50:00.000Z  80  5.300 //
2019-12-30T01:00:00.000Z  80  5.250 //
2019-12-30T01:10:00.000Z  60  4.100 //
2019-12-30T01:20:00.000Z  80  5.000 //
2019-12-30T01:30:00.000Z  80  5.050 //
2019-12-30T01:40:00.000Z  80  5.050 //
2019-12-30T01:50:00.000Z  80  4.950 //
2019-12-30T02:00:00.000Z  90  4.800 //
2019-12-30T02:10:00.000Z  90  4.750 //
2019-12-30T02:20:00.000Z  80  4.750 //
2019-12-30T02:30:00.000Z   0  4.650 //
2019-12-30T02:40:00.000Z  70  4.900 //
2019-12-30T02:50:00.000Z  70  4.900 //
2019-12-30T03:00:00.000Z  70  5.000 //
2019-12-30T03:10:00.000Z  70  4.900 //
2019-12-30T03:20:00.000Z  70  4.850 //
2019-12-30T03:30:00.000Z  70  4.900 //
2019-12-30T03:40:00.000Z  70  5.050 //
2019-12-30T03:50:00.000Z  70  5.050 //
2019-12-30T04:00:00.000Z  70  5.000 //
2019-12-30T04:10:00.000Z  70  4.900 //
2019-12-30T04:20:00.000Z  70  4.700 //
2019-12-30T04:30:00.000Z  70  4.600 //
2019-12-30T04:40:00.000Z  70  4.550 //
2019-12-30T04:50:00.000Z  70  4.550 //
2019-12-30T05:00:00.000Z  70  4.550 //
2019-12-30T05:10:00.000Z  70  4.550 //
2019-12-30T05:20:00.000Z  70  4.350 //
2019-12-30T05:30:00.000Z  70  4.300 //
2019-12-30T05:40:00.000Z  70  4.300 //
2019-12-30T05:50:00.000Z  40  3.450 //
2019-12-30T06:00:00.000Z  70  4.200 //
2019-12-30T06:10:00.000Z  40  3.850 //
2019-12-30T06:20:00.000Z  70  4.050 //
2019-12-30T06:30:00.000Z  70  3.700 //
2019-12-30T06:40:00.000Z  70  3.700 //
2019-12-30T06:50:00.000Z  70  3.950 //
2019-12-30T07:00:00.000Z  60  3.600 //
2019-12-30T07:10:00.000Z  70  3.700 //
2019-12-30T07:20:00.000Z  70  3.600 //
2019-12-30T07:30:00.000Z  70  3.750 //
2019-12-30T07:40:00.000Z  60  3.200 //
2019-12-30T07:50:00.000Z  60  2.850 //
2019-12-30T08:00:00.000Z  70  2.700 //
2019-12-30T08:10:00.000Z  70  2.750 //
2019-12-30T08:20:00.000Z  70  3.200 //
2019-12-30T08:30:00.000Z  70  3.450 //
2019-12-30T08:40:00.000Z  60  3.800 //
2019-12-30T08:50:00.000Z  80  4.050 //
2019-12-30T09:00:00.000Z  80  4.200 //
2019-12-30T09:10:00.000Z  80  4.400 //
2019-12-30T09:20:00.000Z  80  4.450 //
2019-12-30T09:30:00.000Z  80  4.350 //
2019-12-30T09:40:00.000Z  80  4.350 //
2019-12-30T09:50:00.000Z  65  4.625 //
2019-12-30T10:00:00.000Z  65  4.600 //
2019-12-30T10:10:00.000Z  85  4.350 //
2019-12-30T10:20:00.000Z   0  3.950 //
2019-12-30T10:30:00.000Z  70  3.803 //
2019-12-30T10:40:00.000Z 100  4.501 //
2019-12-30T10:50:00.000Z  95  4.700 //
2019-12-30T11:10:00.000Z  95  3.875 //
2019-12-30T11:20:00.000Z 100  4.975 //
2019-12-30T11:30:00.000Z 100  5.050 //
2019-12-30T11:40:00.000Z  80  4.150 //
2019-12-30T11:50:00.000Z  45  5.425 //
2019-12-30T12:00:00.000Z   0  5.500 //
2019-12-30T12:10:00.000Z  90  5.800 //
2019-12-30T12:20:00.000Z 100  5.925 //
2019-12-30T12:30:00.000Z  90  6.025 //
2019-12-30T12:40:00.000Z 100  6.050 //
2019-12-30T12:50:00.000Z 100  6.325 //
2019-12-30T13:00:00.000Z 100  6.325 //
2019-12-30T13:10:00.000Z 100  6.650 //
2019-12-30T13:20:00.000Z  90  6.450 //
2019-12-30T13:30:00.000Z  90  6.550 //
2019-12-30T13:40:00.000Z   0  7.000 //
2019-12-30T13:50:00.000Z 100  7.225 //
2019-12-30T14:00:00.000Z 100  7.300 //
2019-12-30T14:10:00.000Z   0  7.450 //
2019-12-30T14:20:00.000Z 100  7.600 //
2019-12-30T14:30:00.000Z 100  7.700 //
2019-12-30T14:40:00.000Z 100  7.750 //
2019-12-30T14:50:00.000Z 100  7.750 //
2019-12-30T15:00:00.000Z 100  7.875 //
2019-12-30T15:10:00.000Z 100  7.800 //
2019-12-30T15:20:00.000Z  95  7.900 //
2019-12-30T15:30:00.000Z 100  8.052 //
2019-12-30T15:40:00.000Z 100  8.025 //
2019-12-30T15:50:00.000Z 100  8.000 //
2019-12-30T16:00:00.000Z 100  8.100 //
2019-12-30T16:10:00.000Z 100  8.300 //
2019-12-30T16:20:00.000Z 100  8.350 //
2019-12-30T16:30:00.000Z 100  8.500 //
2019-12-30T16:40:00.000Z  95  8.550 //
2019-12-30T16:50:00.000Z 100  8.775 //
2019-12-30T17:00:00.000Z 100  8.950 //
2019-12-30T17:10:00.000Z  95  9.100 //
2019-12-30T17:20:00.000Z  95  9.200 //
2019-12-30T17:30:00.000Z  95  9.350 //
2019-12-30T17:40:00.000Z 100  9.625 //
2019-12-30T17:50:00.000Z  95  9.950 //
2019-12-30T18:00:00.000Z  95 10.275 //
2019-12-30T18:10:00.000Z  95 10.500 //
2019-12-30T18:20:00.000Z 100 10.800 //
2019-12-30T18:30:00.000Z  95 10.950 //
2019-12-30T18:40:00.000Z  95 11.100 //
2019-12-30T18:50:00.000Z  95 11.462 //
2019-12-30T19:00:00.000Z  95 11.475 //
2019-12-30T19:10:00.000Z  95 11.512 //
2019-12-30T19:20:00.000Z  95 11.475 //
2019-12-30T19:30:00.000Z  95 11.325 //
2019-12-30T19:40:00.000Z  95 10.975 //
2019-12-30T19:50:00.000Z  95 10.425 //
2019-12-30T20:00:00.000Z  95  9.725 //
2019-12-30T20:10:00.000Z  95  8.975 //
2019-12-30T20:20:00.000Z  95  8.325 //
2019-12-30T20:30:00.000Z  95  7.475 //
2019-12-30T20:40:00.000Z  95  7.075 //
2019-12-30T20:50:00.000Z  95  6.225 //
2019-12-30T21:00:00.000Z  80  5.525 //
2019-12-30T21:10:00.000Z  80  5.175 //
2019-12-30T21:20:00.000Z  80  4.825 //
2019-12-30T21:30:00.000Z  80  4.675 //
2019-12-30T21:40:00.000Z  70  4.550 //
2019-12-30T21:50:00.000Z  80  4.400 //
2019-12-30T22:00:00.000Z  80  4.400 //
2019-12-30T22:10:00.000Z  80  4.350 //
2019-12-30T22:20:00.000Z  80  4.350 //
2019-12-30T22:30:00.000Z  80  4.250 //
2019-12-30T22:40:00.000Z  80  4.300 //
2019-12-30T22:50:00.000Z  60  4.300 //
2019-12-30T23:00:00.000Z  80  4.550 //
2019-12-30T23:10:00.000Z  80  4.450 //
2019-12-30T23:20:00.000Z  80  4.400 //
2019-12-30T23:30:00.000Z  70  4.400 //
2019-12-30T23:40:00.000Z  80  4.400 //
2019-12-30T23:50:00.000Z  70  4.250 //
2019-12-31T00:00:00.000Z  70  4.200 //
2019-12-31T00:10:00.000Z  70  4.000 //
2019-12-31T00:20:00.000Z  70  4.000 //
2019-12-31T00:30:00.000Z  65  3.850 //
2019-12-31T00:40:00.000Z  35  3.950 //
2019-12-31T00:50:00.000Z  40  3.800 //
2019-12-31T01:00:00.000Z  70  3.900 //
2019-12-31T01:10:00.000Z  70  4.000 //
2019-12-31T01:20:00.000Z  70  4.000 //
2019-12-31T01:30:00.000Z  70  4.000 //
2019-12-31T01:40:00.000Z  60  3.950 //
2019-12-31T01:50:00.000Z  40  3.650 //
2019-12-31T02:00:00.000Z  70  3.750 //
2019-12-31T02:10:00.000Z  20  3.550 //
2019-12-31T02:20:00.000Z  70  3.650 //
2019-12-31T02:30:00.000Z  70  3.550 //
2019-12-31T02:40:00.000Z  70  3.650 //
2019-12-31T02:50:00.000Z  40  2.750 //
2019-12-31T03:00:00.000Z  70  3.200 //
2019-12-31T03:10:00.000Z  70  3.350 //
2019-12-31T03:20:00.000Z  40  3.150 //
2019-12-31T03:30:00.000Z  70  3.450 //
2019-12-31T03:40:00.000Z  60  3.650 //
2019-12-31T03:50:00.000Z  70  3.600 //
2019-12-31T04:00:00.000Z  45  3.800 //
2019-12-31T04:10:00.000Z  70  3.500 //
2019-12-31T04:20:00.000Z  70  3.700 //
2019-12-31T04:30:00.000Z  20  3.950 //
2019-12-31T04:40:00.000Z  70  3.700 //
2019-12-31T04:50:00.000Z  60  3.550 //
2019-12-31T05:00:00.000Z  70  3.900 //
2019-12-31T05:10:00.000Z  60  3.550 //
2019-12-31T05:20:00.000Z  70  3.200 //
2019-12-31T05:30:00.000Z  40  3.050 //
2019-12-31T05:40:00.000Z  70  2.950 //
2019-12-31T05:50:00.000Z  70  2.950 //
2019-12-31T06:00:00.000Z  50  3.000 //
2019-12-31T06:10:00.000Z  70  2.700 //
2019-12-31T06:30:00.000Z  45  2.550 //
2019-12-31T07:00:00.000Z  80  2.250 //
2019-12-31T07:10:00.000Z  90  1.950 //
2019-12-31T07:20:00.000Z  45  2.200 //
2019-12-31T07:30:00.000Z  35  2.850 //
2019-12-31T07:40:00.000Z  35  3.200 //
2019-12-31T08:00:00.000Z  25  3.000 //
2019-12-31T08:10:00.000Z  60  3.800 //
2019-12-31T08:20:00.000Z  65  3.150 //
2019-12-31T08:30:00.000Z  70  3.350 //
2019-12-31T08:40:00.000Z  80  3.525 //
2019-12-31T08:50:00.000Z  70  3.600 //
2019-12-31T09:00:00.000Z  80  3.850 //
2019-12-31T09:10:00.000Z  65  4.000 //
2019-12-31T09:20:00.000Z  80  4.100 //
2019-12-31T09:30:00.000Z  80  4.000 //
2019-12-31T09:40:00.000Z  80  4.100 //
2019-12-31T09:50:00.000Z  80  3.700 //
2019-12-31T10:00:00.000Z  95  4.250 //
2019-12-31T10:10:00.000Z  65  3.600 //
2019-12-31T10:20:00.000Z  95  3.575 //
2019-12-31T10:30:00.000Z  75  3.875 //
2019-12-31T10:40:00.000Z  85  4.725 //
2019-12-31T11:00:00.000Z   0  4.500 //
2019-12-31T11:10:00.000Z  90  4.950 //
2019-12-31T11:20:00.000Z  65  4.288 //
2019-12-31T11:30:00.000Z 100  5.256 //
2019-12-31T11:40:00.000Z   0  5.200 //
2019-12-31T11:50:00.000Z  50  5.400 //
2019-12-31T12:00:00.000Z  50  5.575 //
2019-12-31T12:10:00.000Z 100  5.800 //
2019-12-31T12:20:00.000Z 100  6.125 //
2019-12-31T12:30:00.000Z 100  6.050 //
