# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2025-11-15T13:32:23.000Z
#
# Location: GEO 42.6N 288.5E, URSI-Code MHJ45 MILLSTONE HILL
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2019-12-30T00:00:00.000Z - 2019-12-31T23:59:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foF2 [MHz] - F2 layer critical frequency
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of MHJ45 data provider
#
#Time                     CS   foF2 QD
2019-12-30T09:15:00.000Z  35  3.025 //
2019-12-30T09:20:00.000Z  45  3.200 //
2019-12-30T09:25:00.000Z  15  2.925 //
2019-12-30T09:30:00.000Z  45  2.775 //
2019-12-30T09:35:00.000Z   0  3.375 //
2019-12-30T09:40:00.000Z  60  2.375 //
2019-12-30T09:45:00.000Z  45  2.675 //
2019-12-30T09:50:00.000Z  70  2.625 //
2019-12-30T09:55:00.000Z  40  2.950 //
2019-12-30T10:00:00.000Z  70  2.700 //
2019-12-30T10:05:00.000Z  60  2.750 //
2019-12-30T10:10:00.000Z  40  2.675 //
2019-12-30T10:15:00.000Z  70  2.925 //
2019-12-30T10:20:00.000Z   0  2.750 //
2019-12-30T10:25:00.000Z   0  2.875 //
2019-12-30T10:30:00.000Z  50  2.725 //
2019-12-30T10:35:00.000Z  20  2.700 //
2019-12-30T10:40:00.000Z   0  3.450 //
2019-12-30T10:45:00.000Z   0  2.900 //
2019-12-30T10:50:00.000Z  70  2.950 //
2019-12-30T10:55:00.000Z  70  3.000 //
2019-12-30T11:00:00.000Z  50  2.450 //
2019-12-30T11:05:00.000Z  70  2.925 //
2019-12-30T11:10:00.000Z  70  2.750 //
2019-12-30T11:15:00.000Z  45  2.625 //
2019-12-30T11:20:00.000Z  65  2.400 //
2019-12-30T11:25:00.000Z  55  2.463 //
2019-12-30T11:30:00.000Z  15  3.075 //
2019-12-30T11:35:00.000Z  20  2.750 //
2019-12-30T11:40:00.000Z  50  2.700 //
2019-12-30T11:45:00.000Z  70  2.900 //
2019-12-30T11:50:00.000Z  70  3.025 //
2019-12-30T11:55:00.000Z  40  3.075 //
2019-12-30T12:00:00.000Z  70  3.025 //
2019-12-30T12:05:00.000Z  70  3.225 //
2019-12-30T12:10:00.000Z  70  3.500 //
2019-12-30T12:15:00.000Z  60  3.632 //
2019-12-30T12:20:00.000Z  70  3.575 //
2019-12-30T12:25:00.000Z  70  3.725 //
2019-12-30T12:30:00.000Z  45  3.800 //
2019-12-30T12:35:00.000Z  70  3.675 //
2019-12-30T12:40:00.000Z  70  4.075 //
2019-12-30T12:45:00.000Z  80  4.150 //
2019-12-30T12:50:00.000Z  80  3.704 //
2019-12-30T12:55:00.000Z   0  3.800 //
2019-12-30T13:00:00.000Z  70  4.012 //
2019-12-30T13:05:00.000Z  70  3.900 //
2019-12-30T13:10:00.000Z  70  4.100 //
2019-12-30T13:15:00.000Z  60  4.075 //
2019-12-30T13:20:00.000Z  80  4.650 //
2019-12-30T13:25:00.000Z  80  4.625 //
2019-12-30T13:30:00.000Z  80  4.575 //
2019-12-30T13:35:00.000Z   0  4.575 //
2019-12-30T13:40:00.000Z  70  4.575 //
2019-12-30T13:45:00.000Z  70  4.525 //
2019-12-30T13:50:00.000Z  70  4.375 //
2019-12-30T13:55:00.000Z  70  4.938 //
2019-12-30T14:00:00.000Z  80  4.950 //
2019-12-30T14:05:00.000Z  70  4.900 //
2019-12-30T14:10:00.000Z  40  4.875 //
2019-12-30T14:15:00.000Z  70  5.088 //
2019-12-30T14:20:00.000Z  70  5.800 //
2019-12-30T14:25:00.000Z  80  5.738 //
2019-12-30T14:30:00.000Z  70  5.525 //
2019-12-30T14:35:00.000Z  45  5.325 //
2019-12-30T14:40:00.000Z  90  4.900 //
2019-12-30T14:50:00.000Z   0  4.950 //
2019-12-30T14:55:00.000Z   0  5.225 //
2019-12-30T15:00:00.000Z  55  5.275 //
2019-12-30T15:05:00.000Z  80  5.650 //
2019-12-30T15:10:00.000Z  40  5.325 //
2019-12-30T15:15:00.000Z  45  5.350 //
2019-12-30T15:20:00.000Z  35  4.750 //
2019-12-30T15:25:00.000Z   0  4.425 //
2019-12-30T15:30:00.000Z  35  4.325 //
2019-12-30T15:35:00.000Z  45  4.075 //
2019-12-30T15:50:00.000Z  45  5.100 //
2019-12-30T15:55:00.000Z  70  5.000 //
2019-12-30T16:00:00.000Z  70  5.800 //
2019-12-30T16:05:00.000Z  80  5.800 //
2019-12-30T16:10:00.000Z  80  5.900 //
2019-12-30T16:15:00.000Z  60  5.600 //
2019-12-30T16:20:00.000Z  90  5.550 //
2019-12-30T16:25:00.000Z  70  5.200 //
2019-12-30T16:30:00.000Z  60  5.688 //
2019-12-30T16:35:00.000Z  70  5.850 //
2019-12-30T16:40:00.000Z  60  6.050 //
2019-12-30T16:50:00.000Z  70  5.775 //
2019-12-30T16:55:00.000Z  70  5.838 //
2019-12-30T17:00:00.000Z  80  6.151 //
2019-12-30T17:05:00.000Z  80  5.938 //
2019-12-30T17:10:00.000Z  70  5.613 //
2019-12-30T17:15:00.000Z  80  5.525 //
2019-12-30T17:20:00.000Z  80  5.507 //
2019-12-30T17:25:00.000Z  80  5.532 //
2019-12-30T17:30:00.000Z  60  5.207 //
2019-12-30T17:35:00.000Z   0  5.300 //
2019-12-30T17:40:00.000Z  80  5.325 //
2019-12-30T17:45:00.000Z  80  5.325 //
2019-12-30T17:50:00.000Z  70  5.163 //
2019-12-30T17:55:00.000Z  80  4.932 //
2019-12-30T18:00:00.000Z  20  5.013 //
2019-12-30T18:05:00.000Z  80  4.932 //
2019-12-30T18:10:00.000Z  80  5.138 //
2019-12-30T18:15:00.000Z  80  4.731 //
2019-12-30T18:20:00.000Z  60  5.075 //
2019-12-30T18:25:00.000Z  60  4.738 //
2019-12-30T18:30:00.000Z  70  5.002 //
2019-12-30T18:35:00.000Z   0  5.250 //
2019-12-30T18:40:00.000Z  60  5.076 //
2019-12-30T18:45:00.000Z   0  4.450 //
2019-12-30T18:50:00.000Z  70  4.950 //
2019-12-30T18:55:00.000Z  40  4.750 //
2019-12-30T19:00:00.000Z  70  4.350 //
2019-12-30T19:05:00.000Z  60  4.725 //
2019-12-30T19:10:00.000Z  80  4.688 //
2019-12-30T19:15:00.000Z  70  4.838 //
2019-12-30T19:20:00.000Z  80  4.725 //
2019-12-30T19:25:00.000Z  70  4.629 //
2019-12-30T19:30:00.000Z  70  4.629 //
2019-12-30T19:35:00.000Z  40  4.676 //
2019-12-30T19:40:00.000Z  80  4.838 //
2019-12-30T19:45:00.000Z  80  4.800 //
2019-12-30T19:50:00.000Z   0  4.625 //
2019-12-30T19:55:00.000Z  80  4.700 //
2019-12-30T20:00:00.000Z  70  4.700 //
2019-12-30T20:05:00.000Z  70  4.557 //
2019-12-30T20:10:00.000Z  70  4.650 //
2019-12-30T20:15:00.000Z  80  4.850 //
2019-12-30T20:20:00.000Z  70  4.925 //
2019-12-30T20:25:00.000Z  70  4.788 //
2019-12-30T20:30:00.000Z  70  4.638 //
2019-12-30T20:35:00.000Z  70  4.675 //
2019-12-30T20:40:00.000Z  80  4.452 //
2019-12-30T20:45:00.000Z  40  4.338 //
2019-12-30T20:50:00.000Z  70  4.188 //
2019-12-30T20:55:00.000Z  70  4.038 //
2019-12-30T21:00:00.000Z  70  4.113 //
2019-12-30T21:05:00.000Z  70  4.050 //
2019-12-30T21:10:00.000Z  40  3.900 //
2019-12-30T21:15:00.000Z  40  3.800 //
2019-12-30T21:20:00.000Z  70  4.125 //
2019-12-30T21:25:00.000Z  70  4.000 //
2019-12-30T21:30:00.000Z  70  3.750 //
2019-12-30T21:35:00.000Z  70  3.775 //
2019-12-30T21:40:00.000Z  45  3.475 //
2019-12-30T21:45:00.000Z  70  3.550 //
2019-12-30T21:50:00.000Z  60  3.763 //
2019-12-30T21:55:00.000Z  70  3.475 //
2019-12-30T22:00:00.000Z  40  2.976 //
2019-12-30T22:05:00.000Z  55  3.338 //
2019-12-30T22:10:00.000Z  45  2.600 //
2019-12-30T22:15:00.000Z  65  3.463 //
2019-12-30T22:20:00.000Z  70  2.800 //
2019-12-30T22:25:00.000Z  15  2.825 //
2019-12-30T22:30:00.000Z   0  2.725 //
2019-12-30T22:35:00.000Z  40  2.750 //
2019-12-30T22:40:00.000Z  65  2.750 //
2019-12-30T22:45:00.000Z  45  2.725 //
2019-12-30T22:50:00.000Z  45  2.675 //
2019-12-30T22:55:00.000Z  45  2.600 //
2019-12-30T23:00:00.000Z  45  2.675 //
2019-12-30T23:05:00.000Z  45  2.750 //
2019-12-30T23:10:00.000Z  65  2.725 //
2019-12-30T23:15:00.000Z  25  3.050 //
2019-12-30T23:20:00.000Z  40  2.925 //
2019-12-30T23:30:00.000Z  50  2.775 //
2019-12-30T23:35:00.000Z  35  2.875 //
2019-12-30T23:40:00.000Z  45  2.575 //
2019-12-30T23:45:00.000Z   0  2.350 //
2019-12-30T23:50:00.000Z  35  3.125 //
2019-12-30T23:55:00.000Z  45  2.550 //
2019-12-31T00:00:00.000Z  50  2.575 //
2019-12-31T00:05:00.000Z  55  2.575 //
2019-12-31T00:10:00.000Z  40  2.325 //
2019-12-31T00:15:00.000Z  65  2.850 //
2019-12-31T00:20:00.000Z  35  2.750 //
2019-12-31T00:25:00.000Z  70  2.550 //
2019-12-31T00:30:00.000Z  70  3.025 //
2019-12-31T00:35:00.000Z  70  2.975 //
2019-12-31T00:40:00.000Z   0  2.725 //
2019-12-31T00:45:00.000Z  65  2.350 //
2019-12-31T00:50:00.000Z  70  2.775 //
2019-12-31T00:55:00.000Z  20  2.325 //
2019-12-31T01:00:00.000Z  65  2.250 //
2019-12-31T01:05:00.000Z  70  2.225 //
2019-12-31T01:10:00.000Z  70  2.200 //
2019-12-31T01:15:00.000Z  70  2.225 //
2019-12-31T01:20:00.000Z  70  2.150 //
2019-12-31T01:25:00.000Z  70  2.175 //
2019-12-31T01:30:00.000Z  65  2.325 //
2019-12-31T01:35:00.000Z  70  2.125 //
2019-12-31T01:40:00.000Z  70  2.175 //
2019-12-31T01:45:00.000Z  20  2.175 //
2019-12-31T01:50:00.000Z  70  2.200 //
2019-12-31T01:55:00.000Z  70  2.150 //
2019-12-31T02:00:00.000Z  60  2.200 //
2019-12-31T02:05:00.000Z  40  2.225 //
2019-12-31T02:10:00.000Z  70  2.325 //
2019-12-31T02:15:00.000Z  80  2.275 //
2019-12-31T02:20:00.000Z  70  2.225 //
2019-12-31T02:25:00.000Z  80  2.175 //
2019-12-31T02:30:00.000Z  70  2.225 //
2019-12-31T02:35:00.000Z  70  2.200 //
2019-12-31T02:40:00.000Z  70  2.175 //
2019-12-31T02:45:00.000Z   0  2.925 //
2019-12-31T02:50:00.000Z  40  2.200 //
2019-12-31T02:55:00.000Z  40  2.175 //
2019-12-31T03:00:00.000Z  70  2.275 //
2019-12-31T03:05:00.000Z  70  2.275 //
