# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2025-11-15T13:32:23.000Z
#
# Location: GEO 42.6N 288.5E, URSI-Code MHJ45 MILLSTONE HILL
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2019-12-30T00:00:00.000Z - 2019-12-31T23:59:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foF2 [MHz] - F2 layer critical frequency
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of MHJ45 data provider
#
#Time                     CS   foF2 QD
2019-12-31T17:30:00.000Z  70  5.413 //
2019-12-31T17:35:00.000Z   0  5.750 //
2019-12-31T17:40:00.000Z  80  5.988 //
2019-12-31T17:45:00.000Z  80  6.106 //
2019-12-31T17:50:00.000Z  90  6.063 //
2019-12-31T17:55:00.000Z  80  5.800 //
2019-12-31T18:00:00.000Z  70  5.707 //
2019-12-31T18:05:00.000Z  70  5.538 //
2019-12-31T18:10:00.000Z  40  5.201 //
2019-12-31T18:15:00.000Z  80  5.379 //
2019-12-31T18:20:00.000Z  80  5.288 //
2019-12-31T18:25:00.000Z  80  5.279 //
2019-12-31T18:30:00.000Z  80  5.353 //
2019-12-31T18:35:00.000Z  80  5.257 //
2019-12-31T18:40:00.000Z  80  5.288 //
2019-12-31T18:45:00.000Z  80  4.907 //
2019-12-31T18:50:00.000Z  70  4.731 //
2019-12-31T18:55:00.000Z  70  4.700 //
2019-12-31T19:00:00.000Z  80  5.325 //
2019-12-31T19:05:00.000Z  70  5.413 //
2019-12-31T19:10:00.000Z  80  5.279 //
2019-12-31T19:15:00.000Z  80  5.413 //
2019-12-31T19:20:00.000Z  80  5.450 //
2019-12-31T19:25:00.000Z  80  5.788 //
2019-12-31T19:30:00.000Z  80  5.782 //
2019-12-31T19:35:00.000Z  80  5.926 //
2019-12-31T19:40:00.000Z  80  5.929 //
2019-12-31T19:45:00.000Z  70  5.825 //
2019-12-31T19:50:00.000Z  80  5.650 //
2019-12-31T19:55:00.000Z  70  5.525 //
2019-12-31T20:00:00.000Z  80  5.425 //
2019-12-31T20:05:00.000Z  80  5.352 //
2019-12-31T20:10:00.000Z  70  5.238 //
2019-12-31T20:15:00.000Z  80  5.163 //
2019-12-31T20:20:00.000Z  70  5.082 //
2019-12-31T20:25:00.000Z  80  5.132 //
2019-12-31T20:30:00.000Z  80  5.225 //
2019-12-31T20:35:00.000Z  90  5.228 //
2019-12-31T20:40:00.000Z  80  5.225 //
2019-12-31T20:45:00.000Z  80  5.225 //
2019-12-31T20:50:00.000Z  80  5.100 //
2019-12-31T20:55:00.000Z  60  4.950 //
2019-12-31T21:00:00.000Z  90  4.800 //
2019-12-31T21:05:00.000Z  80  4.713 //
2019-12-31T21:10:00.000Z  70  4.575 //
2019-12-31T21:15:00.000Z  60  4.350 //
2019-12-31T21:20:00.000Z  65  4.125 //
2019-12-31T21:25:00.000Z  55  3.902 //
2019-12-31T21:30:00.000Z  65  3.500 //
2019-12-31T21:35:00.000Z  35  3.450 //
2019-12-31T21:40:00.000Z  65  3.350 //
2019-12-31T21:45:00.000Z  70  3.450 //
2019-12-31T21:50:00.000Z  70  3.425 //
2019-12-31T21:55:00.000Z  70  3.350 //
2019-12-31T22:00:00.000Z  55  3.275 //
2019-12-31T22:05:00.000Z  70  3.325 //
2019-12-31T22:10:00.000Z  70  3.050 //
2019-12-31T22:15:00.000Z  70  3.054 //
2019-12-31T22:20:00.000Z  70  3.150 //
2019-12-31T22:25:00.000Z  70  3.000 //
2019-12-31T22:30:00.000Z  70  3.050 //
2019-12-31T22:35:00.000Z  70  3.050 //
2019-12-31T22:40:00.000Z  70  2.950 //
2019-12-31T22:45:00.000Z  70  2.900 //
2019-12-31T22:50:00.000Z  90  2.800 //
2019-12-31T22:55:00.000Z  60  2.725 //
2019-12-31T23:00:00.000Z   0  2.775 //
2019-12-31T23:05:00.000Z  70  2.625 //
2019-12-31T23:10:00.000Z  70  2.700 //
2019-12-31T23:15:00.000Z  70  2.650 //
2019-12-31T23:20:00.000Z  70  2.725 //
2019-12-31T23:25:00.000Z  70  2.625 //
2019-12-31T23:30:00.000Z  65  2.850 //
2019-12-31T23:35:00.000Z  70  2.650 //
2019-12-31T23:40:00.000Z  70  2.625 //
2019-12-31T23:45:00.000Z  70  2.600 //
2019-12-31T23:50:00.000Z  70  2.725 //
2019-12-31T23:55:00.000Z  60  2.875 //
