DayOfYear,Hour,foF2,Longitude,Latitude,F10.7
1,1,7.0,283.2,-12.0,
1,2,5.7,283.2,-12.0,
1,3,4.0,283.2,-12.0,
1,4,3.9,283.2,-12.0,
1,5,3.0,283.2,-12.0,
1,6,3.3,283.2,-12.0,
1,12,3.8,283.2,-12.0,
1,13,5.407,283.2,-12.0,
1,14,6.25,283.2,-12.0,
1,15,6.15,283.2,-12.0,
1,16,5.75,283.2,-12.0,
1,19,6.425,283.2,-12.0,
1,20,7.004,283.2,-12.0,
1,21,7.425,283.2,-12.0,
1,22,6.95,283.2,-12.0,
1,23,6.825,283.2,-12.0,
1,24,6.1,283.2,-12.0,
2,1,5.6,283.2,-12.0,
2,2,4.8,283.2,-12.0,
2,3,4.2,283.2,-12.0,
2,4,4.1,283.2,-12.0,
2,5,4.6,283.2,-12.0,
2,6,4.6,283.2,-12.0,
2,11,2.5,283.2,-12.0,
2,12,3.6,283.2,-12.0,
2,13,5.213,283.2,-12.0,
2,14,6.413,283.2,-12.0,
2,15,5.55,283.2,-12.0,
2,16,5.55,283.2,-12.0,
2,17,5.7,283.2,-12.0,
2,18,5.55,283.2,-12.0,
2,19,5.85,283.2,-12.0,
2,20,6.1,283.2,-12.0,
2,21,6.8,283.2,-12.0,
2,22,6.75,283.2,-12.0,
2,23,6.925,283.2,-12.0,
2,24,5.75,283.2,-12.0,
3,1,5.9,283.2,-12.0,
3,2,5.2,283.2,-12.0,
3,3,5.0,283.2,-12.0,
3,4,4.8,283.2,-12.0,
3,5,7.2,283.2,-12.0,
3,6,5.8,283.2,-12.0,
3,7,4.2,283.2,-12.0,
3,8,3.8,283.2,-12.0,
3,9,2.8,283.2,-12.0,
3,11,2.8,283.2,-12.0,
3,12,3.5,283.2,-12.0,
3,13,4.925,283.2,-12.0,
3,14,5.507,283.2,-12.0,
3,15,6.55,283.2,-12.0,
3,16,5.713,283.2,-12.0,
3,17,6.013,283.2,-12.0,
3,18,5.55,283.2,-12.0,
3,19,6.05,283.2,-12.0,
3,20,6.45,283.2,-12.0,
3,21,7.0,283.2,-12.0,
3,22,7.05,283.2,-12.0,
3,23,6.95,283.2,-12.0,
3,24,6.85,283.2,-12.0,
4,1,6.9,283.2,-12.0,
4,2,6.1,283.2,-12.0,
4,3,5.5,283.2,-12.0,
4,4,3.5,283.2,-12.0,
4,5,4.8,283.2,-12.0,
4,6,5.3,283.2,-12.0,
4,7,4.5,283.2,-12.0,
4,8,4.1,283.2,-12.0,
4,9,3.0,283.2,-12.0,
4,11,3.4,283.2,-12.0,
4,12,3.5,283.2,-12.0,
4,13,5.35,283.2,-12.0,
4,14,6.013,283.2,-12.0,
4,15,6.702,283.2,-12.0,
4,16,7.05,283.2,-12.0,
4,17,6.25,283.2,-12.0,
4,18,5.999,283.2,-12.0,
4,19,6.95,283.2,-12.0,
4,20,8.225,283.2,-12.0,
4,21,8.95,283.2,-12.0,
4,22,8.6,283.2,-12.0,
4,23,8.75,283.2,-12.0,
4,24,7.6,283.2,-12.0,
5,1,5.4,283.2,-12.0,
5,2,4.0,283.2,-12.0,
5,3,3.5,283.2,-12.0,
5,4,3.5,283.2,-12.0,
5,5,3.9,283.2,-12.0,
5,6,3.8,283.2,-12.0,
5,7,3.4,283.2,-12.0,
5,8,3.7,283.2,-12.0,
5,9,3.0,283.2,-12.0,
5,10,2.9,283.2,-12.0,
5,11,2.4,283.2,-12.0,
5,12,3.8,283.2,-12.0,
5,13,5.75,283.2,-12.0,
5,14,6.25,283.2,-12.0,
5,15,7.225,283.2,-12.0,
5,16,7.35,283.2,-12.0,
5,17,6.85,283.2,-12.0,
5,18,7.3,283.2,-12.0,
5,19,8.15,283.2,-12.0,
5,20,8.6,283.2,-12.0,
5,21,8.75,283.2,-12.0,
5,22,7.55,283.2,-12.0,
5,23,8.15,283.2,-12.0,
5,24,7.15,283.2,-12.0,
6,1,4.5,283.2,-12.0,
6,2,5.5,283.2,-12.0,
6,3,4.7,283.2,-12.0,
6,4,6.6,283.2,-12.0,
6,5,4.8,283.2,-12.0,
6,6,3.9,283.2,-12.0,
6,7,4.6,283.2,-12.0,
6,8,3.4,283.2,-12.0,
6,9,3.2,283.2,-12.0,
6,10,3.2,283.2,-12.0,
6,11,2.9,283.2,-12.0,
6,12,3.8,283.2,-12.0,
6,13,5.45,283.2,-12.0,
6,14,5.813,283.2,-12.0,
6,15,6.65,283.2,-12.0,
6,16,7.025,283.2,-12.0,
6,17,5.507,283.2,-12.0,
6,18,5.25,283.2,-12.0,
6,19,6.45,283.2,-12.0,
6,20,7.15,283.2,-12.0,
6,21,7.713,283.2,-12.0,
6,22,8.45,283.2,-12.0,
6,23,8.65,283.2,-12.0,
6,24,8.55,283.2,-12.0,
7,1,7.8,283.2,-12.0,
7,2,5.8,283.2,-12.0,
7,3,5.7,283.2,-12.0,
7,4,7.6,283.2,-12.0,
7,5,3.8,283.2,-12.0,
7,6,4.0,283.2,-12.0,
7,7,4.0,283.2,-12.0,
7,8,3.7,283.2,-12.0,
7,9,2.9,283.2,-12.0,
7,11,2.6,283.2,-12.0,
7,12,3.7,283.2,-12.0,
7,13,5.05,283.2,-12.0,
7,14,6.613,283.2,-12.0,
7,15,5.95,283.2,-12.0,
7,16,5.85,283.2,-12.0,
7,17,5.625,283.2,-12.0,
7,18,5.95,283.2,-12.0,
7,19,6.75,283.2,-12.0,
7,20,7.8,283.2,-12.0,
7,21,7.801,283.2,-12.0,
7,22,7.625,283.2,-12.0,
7,23,7.75,283.2,-12.0,
7,24,8.5,283.2,-12.0,
8,1,8.3,283.2,-12.0,
8,2,6.4,283.2,-12.0,
8,3,4.7,283.2,-12.0,
8,4,3.7,283.2,-12.0,
8,5,3.6,283.2,-12.0,
8,6,2.8,283.2,-12.0,
8,7,3.1,283.2,-12.0,
8,11,3.2,283.2,-12.0,
8,12,3.4,283.2,-12.0,
8,13,5.45,283.2,-12.0,
8,14,5.85,283.2,-12.0,
8,15,6.95,283.2,-12.0,
8,16,7.725,283.2,-12.0,
8,17,6.55,283.2,-12.0,
8,18,5.75,283.2,-12.0,
8,19,5.85,283.2,-12.0,
8,20,6.95,283.2,-12.0,
8,21,7.325,283.2,-12.0,
8,22,6.925,283.2,-12.0,
8,23,7.025,283.2,-12.0,
8,24,7.0,283.2,-12.0,
9,1,7.8,283.2,-12.0,
9,2,5.7,283.2,-12.0,
9,3,4.9,283.2,-12.0,
9,4,4.8,283.2,-12.0,
9,5,6.3,283.2,-12.0,
9,6,4.4,283.2,-12.0,
9,7,4.8,283.2,-12.0,
9,8,2.9,283.2,-12.0,
9,9,3.0,283.2,-12.0,
9,12,3.6,283.2,-12.0,
9,13,5.413,283.2,-12.0,
9,14,5.85,283.2,-12.0,
9,15,6.35,283.2,-12.0,
9,16,6.513,283.2,-12.0,
9,17,6.85,283.2,-12.0,
9,18,6.05,283.2,-12.0,
9,19,6.096,283.2,-12.0,
9,20,7.357,283.2,-12.0,
9,21,7.25,283.2,-12.0,
9,22,7.55,283.2,-12.0,
9,23,6.95,283.2,-12.0,
9,24,7.0,283.2,-12.0,
10,1,6.7,283.2,-12.0,
10,2,4.8,283.2,-12.0,
10,3,4.0,283.2,-12.0,
10,4,4.7,283.2,-12.0,
10,5,3.4,283.2,-12.0,
10,11,2.5,283.2,-12.0,
10,12,3.65,283.2,-12.0,
10,13,4.702,283.2,-12.0,
10,14,5.25,283.2,-12.0,
10,15,5.604,283.2,-12.0,
10,16,6.307,283.2,-12.0,
10,17,5.35,283.2,-12.0,
10,18,5.35,283.2,-12.0,
10,19,5.75,283.2,-12.0,
10,20,6.35,283.2,-12.0,
10,21,6.85,283.2,-12.0,
10,22,6.904,283.2,-12.0,
10,23,6.95,283.2,-12.0,
10,24,7.0,283.2,-12.0,
11,1,7.2,283.2,-12.0,
11,2,6.0,283.2,-12.0,
11,3,6.8,283.2,-12.0,
11,4,5.4,283.2,-12.0,
11,5,4.3,283.2,-12.0,
11,6,5.5,283.2,-12.0,
11,7,4.4,283.2,-12.0,
11,8,3.7,283.2,-12.0,
11,9,3.1,283.2,-12.0,
11,10,3.1,283.2,-12.0,
11,11,3.2,283.2,-12.0,
11,12,3.3,283.2,-12.0,
11,13,4.702,283.2,-12.0,
11,14,4.95,283.2,-12.0,
11,15,5.407,283.2,-12.0,
11,16,5.75,283.2,-12.0,
11,17,6.55,283.2,-12.0,
11,18,5.95,283.2,-12.0,
11,19,6.1,283.2,-12.0,
11,20,6.85,283.2,-12.0,
11,21,8.263,283.2,-12.0,
11,22,8.525,283.2,-12.0,
11,23,7.05,283.2,-12.0,
11,24,7.05,283.2,-12.0,
12,1,6.8,283.2,-12.0,
12,2,5.3,283.2,-12.0,
12,3,4.2,283.2,-12.0,
12,4,3.5,283.2,-12.0,
12,5,5.6,283.2,-12.0,
12,6,3.3,283.2,-12.0,
12,7,2.8,283.2,-12.0,
12,8,2.6,283.2,-12.0,
12,10,2.9,283.2,-12.0,
12,12,3.3,283.2,-12.0,
12,13,4.913,283.2,-12.0,
12,14,5.65,283.2,-12.0,
12,15,6.05,283.2,-12.0,
12,16,5.75,283.2,-12.0,
12,17,5.513,283.2,-12.0,
12,18,4.45,283.2,-12.0,
12,19,5.15,283.2,-12.0,
12,20,6.05,283.2,-12.0,
12,21,6.313,283.2,-12.0,
12,22,6.75,283.2,-12.0,
12,23,6.65,283.2,-12.0,
12,24,6.907,283.2,-12.0,
13,1,7.2,283.2,-12.0,
13,2,5.6,283.2,-12.0,
13,3,4.3,283.2,-12.0,
13,4,4.6,283.2,-12.0,
13,5,5.4,283.2,-12.0,
13,6,3.5,283.2,-12.0,
13,7,2.8,283.2,-12.0,
13,9,3.0,283.2,-12.0,
13,12,3.375,283.2,-12.0,
13,13,4.95,283.2,-12.0,
13,14,5.313,283.2,-12.0,
13,15,5.85,283.2,-12.0,
13,16,6.05,283.2,-12.0,
13,17,5.75,283.2,-12.0,
13,18,5.45,283.2,-12.0,
13,19,4.85,283.2,-12.0,
13,20,5.407,283.2,-12.0,
13,21,6.15,283.2,-12.0,
13,22,6.6,283.2,-12.0,
13,23,6.65,283.2,-12.0,
13,24,6.65,283.2,-12.0,
14,1,4.6,283.2,-12.0,
14,2,5.8,283.2,-12.0,
14,3,4.2,283.2,-12.0,
14,4,3.1,283.2,-12.0,
14,5,3.4,283.2,-12.0,
14,6,3.5,283.2,-12.0,
14,8,3.1,283.2,-12.0,
14,12,3.4,283.2,-12.0,
14,13,4.825,283.2,-12.0,
14,14,4.907,283.2,-12.0,
14,15,5.55,283.2,-12.0,
14,16,5.85,283.2,-12.0,
14,17,5.45,283.2,-12.0,
14,18,4.9,283.2,-12.0,
14,19,5.325,283.2,-12.0,
14,20,6.15,283.2,-12.0,
14,21,6.757,283.2,-12.0,
14,22,7.85,283.2,-12.0,
14,23,8.025,283.2,-12.0,
14,24,7.1,283.2,-12.0,
15,1,7.2,283.2,-12.0,
15,2,6.9,283.2,-12.0,
15,3,5.2,283.2,-12.0,
15,4,4.1,283.2,-12.0,
15,5,3.6,283.2,-12.0,
15,6,4.7,283.2,-12.0,
15,7,4.3,283.2,-12.0,
15,8,3.6,283.2,-12.0,
15,9,3.2,283.2,-12.0,
15,10,2.7,283.2,-12.0,
15,12,3.4,283.2,-12.0,
15,13,4.725,283.2,-12.0,
15,14,5.401,283.2,-12.0,
15,15,5.75,283.2,-12.0,
15,16,6.05,283.2,-12.0,
15,17,4.45,283.2,-12.0,
15,18,5.25,283.2,-12.0,
15,19,5.313,283.2,-12.0,
15,20,5.925,283.2,-12.0,
15,21,6.413,283.2,-12.0,
15,22,7.025,283.2,-12.0,
15,23,7.45,283.2,-12.0,
15,24,7.407,283.2,-12.0,
16,1,7.0,283.2,-12.0,
16,2,6.7,283.2,-12.0,
16,3,5.6,283.2,-12.0,
16,4,5.3,283.2,-12.0,
16,5,5.0,283.2,-12.0,
16,6,4.6,283.2,-12.0,
16,7,4.8,283.2,-12.0,
16,8,3.9,283.2,-12.0,
16,10,2.9,283.2,-12.0,
16,11,3.5,283.2,-12.0,
16,12,3.5,283.2,-12.0,
16,13,4.95,283.2,-12.0,
16,14,5.801,283.2,-12.0,
16,15,6.813,283.2,-12.0,
16,16,6.15,283.2,-12.0,
16,17,6.35,283.2,-12.0,
16,18,6.425,283.2,-12.0,
16,19,7.25,283.2,-12.0,
16,20,7.35,283.2,-12.0,
16,21,7.313,283.2,-12.0,
16,22,6.75,283.2,-12.0,
16,23,6.025,283.2,-12.0,
16,24,5.85,283.2,-12.0,
17,1,5.8,283.2,-12.0,
17,2,5.6,283.2,-12.0,
17,3,4.6,283.2,-12.0,
17,4,3.5,283.2,-12.0,
17,5,3.5,283.2,-12.0,
17,6,5.2,283.2,-12.0,
17,7,3.4,283.2,-12.0,
17,8,3.1,283.2,-12.0,
17,9,3.0,283.2,-12.0,
